z2	pavs	time	ts(V1)-V1[0][0, 0, ::]
5.00000000000000000E1	<invalid>	0.00000000000000000E0	3.42688246667043030E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	6.25000000000000000E-12	3.33963487262251140E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	1.25000000000000000E-11	3.22270390696289870E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	1.87500000000000000E-11	3.07642392859517200E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	2.50000000000000000E-11	2.90274365138877450E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	3.12500000000000000E-11	2.70537001713783900E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	3.75000000000000000E-11	2.48960246383302940E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	4.37500000000000090E-11	2.26187309904059310E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	5.00000000000000000E-11	2.02905810023867780E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	5.62500000000000090E-11	1.79766549991469190E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	6.25000000000000000E-11	1.57302795968649490E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	6.87499999999999910E-11	1.35863230955713910E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	7.50000000000000000E-11	1.15569978254237960E1 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	8.12500000000000000E-11	9.63094541451762960E0 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	8.75000000000000180E-11	7.77588704298242920E0 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	9.37500000000000000E-11	5.94457138342252380E0 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	1.00000000000000000E-10	4.08323256590680830E0 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	1.06250000000000020E-10	2.14136003499024240E0 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	1.12500000000000020E-10	8.13464486145818460E-2 / -0.00000000000000000E0
5.00000000000000000E1	<invalid>	1.18750000000000020E-10	2.11344242014736140E0 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.25000000000000000E-10	4.43343391156642140E0 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.31250000000000040E-10	6.84131785067653910E0 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.37499999999999980E-10	9.27455821090743630E0 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.43750000000000000E-10	1.16516992950648970E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.50000000000000000E-10	1.38816599242058030E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.56250000000000000E-10	1.58747622505364690E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.62500000000000000E-10	1.75539742288504220E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.68750000000000040E-10	1.88647974407029160E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.75000000000000020E-10	1.97824130576687770E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.81249999999999960E-10	2.03150823488419260E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.87500000000000000E-10	2.05033280876030320E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	1.93750000000000000E-10	2.04150213949591870E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	2.00000000000000000E-10	2.01370766734721500E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	2.06250000000000000E-10	1.97649300932217350E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	2.12500000000000040E-10	1.93912751996544810E1 / -1.80000000000000000E2
5.00000000000000000E1	<invalid>	2.18750000000000040E-10	1.90956094961711510E1 / -1.80000000000000000E2
