z2	pavs	ts(V1[1])[0, ::]
5.00000000000000000E1	0.00000000000000000E0	2.87339990911966800E1
5.00000000000000000E1	7.40740740740740660E-4	2.84697028106440350E1
5.00000000000000000E1	1.48148148148148140E-3	2.77564223097914380E1
5.00000000000000000E1	2.22222222222222230E-3	2.66054064482304530E1
5.00000000000000000E1	2.96296296296296280E-3	2.50348074336814320E1
5.00000000000000000E1	3.70370370370370330E-3	2.30693945508341970E1
5.00000000000000000E1	4.44444444444444460E-3	2.07401635349319860E1
5.00000000000000000E1	5.18518518518518510E-3	1.80838477505107490E1
5.00000000000000000E1	5.92592592592592560E-3	1.51423388842969440E1
5.00000000000000000E1	6.66666666666666610E-3	1.19620262882829790E1
5.00000000000000000E1	7.40740740740740660E-3	8.59306539193465820E0
5.00000000000000000E1	8.14814814814814700E-3	5.08858672110707920E0
5.00000000000000000E1	8.88888888888888930E-3	1.50385799791327820E0
5.00000000000000000E1	9.62962962962962800E-3	-2.10458746426883850E0
5.00000000000000000E1	1.03703703703703700E-2	-5.67984232491982600E0
5.00000000000000000E1	1.11111111111111120E-2	-9.16552267913348650E0
5.00000000000000000E1	1.18518518518518510E-2	-1.25066572654793570E1
5.00000000000000000E1	1.25925925925925950E-2	-1.56505543956337050E1
5.00000000000000000E1	1.33333333333333330E-2	-1.85476329337808890E1
5.00000000000000000E1	1.40740740740740740E-2	-2.11522042207434870E1
5.00000000000000000E1	1.48148148148148140E-2	-2.34231926114306430E1
5.00000000000000000E1	1.55555555555555560E-2	-2.53247832622985050E1
5.00000000000000000E1	1.62962962962962950E-2	-2.68269869528276850E1
5.00000000000000000E1	1.70370370370370330E-2	-2.79061130334455720E1
5.00000000000000000E1	1.77777777777777790E-2	-2.85451430412221320E1
5.00000000000000000E1	1.85185185185185160E-2	-2.87339990911967110E1
5.00000000000000000E1	1.92592592592592560E-2	-2.84697028106440710E1
5.00000000000000000E1	2.00000000000000000E-2	-2.77564223097914730E1
5.00000000000000000E1	2.07407407407407400E-2	-2.66054064482304840E1
5.00000000000000000E1	2.14814814814814790E-2	-2.50348074336814630E1
5.00000000000000000E1	2.22222222222222230E-2	-2.30693945508342240E1
5.00000000000000000E1	2.29629629629629630E-2	-2.07401635349320120E1
5.00000000000000000E1	2.37037037037037020E-2	-1.80838477505107710E1
5.00000000000000000E1	2.44444444444444420E-2	-1.51423388842969640E1
5.00000000000000000E1	2.51851851851851900E-2	-1.19620262882829990E1
5.00000000000000000E1	2.59259259259259260E-2	-8.59306539193467240E0
5.00000000000000000E1	2.66666666666666650E-2	-5.08858672110709250E0
5.00000000000000000E1	2.74074074074074050E-2	-1.50385799791328760E0
5.00000000000000000E1	2.81481481481481490E-2	2.10458746426883270E0
5.00000000000000000E1	2.88888888888888840E-2	5.67984232491982240E0
5.00000000000000000E1	2.96296296296296280E-2	9.16552267913348650E0
5.00000000000000000E1	3.03703703703703720E-2	1.25066572654793570E1
5.00000000000000000E1	3.11111111111111120E-2	1.56505543956337110E1
5.00000000000000000E1	3.18518518518518510E-2	1.85476329337809000E1
5.00000000000000000E1	3.25925925925925910E-2	2.11522042207435050E1
5.00000000000000000E1	3.33333333333333300E-2	2.34231926114306570E1
5.00000000000000000E1	3.40740740740740660E-2	2.53247832622985230E1
5.00000000000000000E1	3.48148148148148100E-2	2.68269869528277070E1
5.00000000000000000E1	3.55555555555555580E-2	2.79061130334455940E1
5.00000000000000000E1	3.62962962962962930E-2	2.85451430412221500E1
5.00000000000000000E1	3.70370370370370330E-2	2.87339990911967290E1
5.00000000000000000E1	3.77777777777777770E-2	2.84697028106440930E1
5.00000000000000000E1	3.85185185185185120E-2	2.77564223097914950E1
5.00000000000000000E1	3.92592592592592600E-2	2.66054064482305060E1
5.00000000000000000E1	4.00000000000000000E-2	2.50348074336814810E1
5.00000000000000000E1	4.07407407407407350E-2	2.30693945508342410E1
5.00000000000000000E1	4.14814814814814790E-2	2.07401635349320390E1
5.00000000000000000E1	4.22222222222222230E-2	1.80838477505107950E1
5.00000000000000000E1	4.29629629629629580E-2	1.51423388842969840E1
5.00000000000000000E1	4.37037037037037020E-2	1.19620262882830190E1
5.00000000000000000E1	4.44444444444444460E-2	8.59306539193469020E0
5.00000000000000000E1	4.51851851851851820E-2	5.08858672110710850E0
5.00000000000000000E1	4.59259259259259260E-2	1.50385799791330110E0
5.00000000000000000E1	4.66666666666666610E-2	-2.10458746426882120E0
