BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	1.03452403341348E-09	1.0E+10	1.0E+10	1E-30	1.67030998760502E-10	1.0E+10	1E-30	1.0E+10	0.278358456109465	3.66907541595533E-08	1.0E+10	21.8675755612247	5.70394444617511E-08	1.0E+10	1.99065572169587	3.13455061538642E-08	1.0E+10	0.370677441289421	2.11815592157973E-08	1.0E+10	0.108306112852129	2.00221929002412E-11	2.03639990474181E-10	4.40113695693196	1.73823085809746E-12	1.89341843728741E-10	18.6977753629943	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.03452403341348E-09	1.0E+10	1.0E+10	1E-30	1.67030998760502E-10	1.0E+10	1E-30	1.0E+10	0.278358456109465	3.66907541595533E-08	1.0E+10	21.8675755612247	5.70394444617511E-08	1.0E+10	1.99065572169587	3.13455061538642E-08	1.0E+10	0.370677441289421	2.11815592157973E-08	1.0E+10	0.108306112852129	2.00221929002412E-11	2.03639990474181E-10	4.40113695693196	1.73823085809746E-12	1.89341843728741E-10	18.6977753629943	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	1.15197386612772E-09	1.0E+10	1.0E+10	1E-30	2.37735647653697E-10	1.0E+10	1E-30	1.0E+10	0.272786905148431	4.3479496216095E-08	1.0E+10	73.3727089738899	6.40445923323778E-08	1.0E+10	8.13594383510829	5.83071752084654E-08	1.0E+10	1.11884912634131	2.13360513569812E-08	1.0E+10	0.274811495308586	1.76692500401811E-11	2.03869316120702E-10	4.25154844563573	1.60321658640157E-12	1.81983257926512E-10	22.0809068561881	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	1.15197386612772E-09	1.0E+10	1.0E+10	1E-30	2.37735647653697E-10	1.0E+10	1E-30	1.0E+10	0.272786905148431	4.3479496216095E-08	1.0E+10	73.3727089738899	6.40445923323778E-08	1.0E+10	8.13594383510829	5.83071752084654E-08	1.0E+10	1.11884912634131	2.13360513569812E-08	1.0E+10	0.274811495308586	1.76692500401811E-11	2.03869316120702E-10	4.25154844563573	1.60321658640157E-12	1.81983257926512E-10	22.0809068561881	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	1.46672916347734E-09	1.0E+10	1.0E+10	1E-30	1.91798506872707E-10	1.0E+10	1E-30	1.0E+10	0.174277025132344	5.55532054366084E-08	1.0E+10	18.1822720471369	9.15933538693747E-08	1.0E+10	1.14774278259071	5.28459481631649E-08	1.0E+10	0.264338090901696	1.46387776372904E-08	1.0E+10	0.117403904562528	1.10660924860897E-11	2.54906208735865E-10	5.48195195115078	2.45406766819663E-12	1.49429650189264E-10	15.735969619223	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	1.46672916347734E-09	1.0E+10	1.0E+10	1E-30	1.91798506872707E-10	1.0E+10	1E-30	1.0E+10	0.174277025132344	5.55532054366084E-08	1.0E+10	18.1822720471369	9.15933538693747E-08	1.0E+10	1.14774278259071	5.28459481631649E-08	1.0E+10	0.264338090901696	1.46387776372904E-08	1.0E+10	0.117403904562528	1.10660924860897E-11	2.54906208735865E-10	5.48195195115078	2.45406766819663E-12	1.49429650189264E-10	15.735969619223	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	1.80183942400531E-09	1.0E+10	1.0E+10	1E-30	1.58327172349695E-10	1.0E+10	1E-30	1.0E+10	0.152454845242766	5.37170795269342E-08	1.0E+10	37.5184494200947	1.06779996318782E-07	1.0E+10	1.89095651588373	7.38737085279436E-08	1.0E+10	0.368707135087317	2.39050634935107E-08	1.0E+10	0.116595433643131	9.71471751338255E-10	4.42242937376261E-11	0.253227393573763	1.71019354878887E-11	1.60069575582645E-10	3.93451724397803	2.15254973388065E-12	1.8171705054012E-10	17.8255638514811	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	1.80183942400531E-09	1.0E+10	1.0E+10	1E-30	1.58327172349695E-10	1.0E+10	1E-30	1.0E+10	0.152454845242766	5.37170795269342E-08	1.0E+10	37.5184494200947	1.06779996318782E-07	1.0E+10	1.89095651588373	7.38737085279436E-08	1.0E+10	0.368707135087317	2.39050634935107E-08	1.0E+10	0.116595433643131	9.71471751338255E-10	4.42242937376261E-11	0.253227393573763	1.71019354878887E-11	1.60069575582645E-10	3.93451724397803	2.15254973388065E-12	1.8171705054012E-10	17.8255638514811	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	2.18269876530506E-09	1.0E+10	1.0E+10	1E-30	1.6447711051801E-10	1.0E+10	1E-30	1.0E+10	0.134785822956073	7.1576425312311E-08	1.0E+10	26.277695114797	1.68238929157452E-07	1.0E+10	1.39888507590959	1.0237046468855E-07	1.0E+10	0.324992474179821	3.6004235554267E-08	1.0E+10	9.70079480665996E-02	1.78872616982732E-08	9.53628071659489E-12	6.41533664103945E-02	2.19217976482074E-09	2.83279350456113E-11	0.197227759331012	1.52731864670652E-11	1.63464858655869E-10	3.50189049993734	2.65107309874242E-12	1.38325296791462E-10	16.89958284365	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	2.18269876530506E-09	1.0E+10	1.0E+10	1E-30	1.6447711051801E-10	1.0E+10	1E-30	1.0E+10	0.134785822956073	7.1576425312311E-08	1.0E+10	26.277695114797	1.68238929157452E-07	1.0E+10	1.39888507590959	1.0237046468855E-07	1.0E+10	0.324992474179821	3.6004235554267E-08	1.0E+10	9.70079480665996E-02	1.78872616982732E-08	9.53628071659489E-12	6.41533664103945E-02	2.19217976482074E-09	2.83279350456113E-11	0.197227759331012	1.52731864670652E-11	1.63464858655869E-10	3.50189049993734	2.65107309874242E-12	1.38325296791462E-10	16.89958284365	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
