BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	1.09123552951457E-09	1.0E+10	100000000000	1E-30	9.51771180950638E-11	1.0E+10	1E-30	1.0E+10	0.316319545719608	8.06208990146659E-09	1.0E+10	499.783484868996	5.20769982667074E-08	1.0E+10	2.5047425586987	2.69127642581351E-08	1.0E+10	0.423824930594235	1.0787522756581E-08	1.0E+10	0.147630435930581	1.44569098153236E-11	2.58527212799101E-10	4.8902948364043	1.08177950984203E-12	2.53596202961337E-10	39.239047933851	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.09123552951457E-09	1.0E+10	100000000000	1E-30	9.51771180950638E-11	1.0E+10	1E-30	1.0E+10	0.316319545719608	8.06208990146659E-09	1.0E+10	499.783484868996	5.20769982667074E-08	1.0E+10	2.5047425586987	2.69127642581351E-08	1.0E+10	0.423824930594235	1.0787522756581E-08	1.0E+10	0.147630435930581	1.44569098153236E-11	2.58527212799101E-10	4.8902948364043	1.08177950984203E-12	2.53596202961337E-10	39.239047933851	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	1.09123552951457E-09	1.0E+10	100000000000	1E-30	9.51771180950638E-11	1.0E+10	1E-30	1.0E+10	0.316319545719608	8.06208990146659E-09	1.0E+10	499.783484868996	5.20769982667074E-08	1.0E+10	2.5047425586987	2.69127642581351E-08	1.0E+10	0.423824930594235	1.0787522756581E-08	1.0E+10	0.147630435930581	1.44569098153236E-11	2.58527212799101E-10	4.8902948364043	1.08177950984203E-12	2.53596202961337E-10	39.239047933851	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	1.09123552951457E-09	1.0E+10	100000000000	1E-30	9.51771180950638E-11	1.0E+10	1E-30	1.0E+10	0.316319545719608	8.06208990146659E-09	1.0E+10	499.783484868996	5.20769982667074E-08	1.0E+10	2.5047425586987	2.69127642581351E-08	1.0E+10	0.423824930594235	1.0787522756581E-08	1.0E+10	0.147630435930581	1.44569098153236E-11	2.58527212799101E-10	4.8902948364043	1.08177950984203E-12	2.53596202961337E-10	39.239047933851	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	1.3059024548505E-09	1.0E+10	100000000000	1E-30	1.81249918192332E-10	1.0E+10	1E-30	1.0E+10	0.295925742607427	1.4580817060757E-08	1.0E+10	220.809541671681	1.1286672653998E-07	1.0E+10	8.51137795875901	5.31364996140192E-08	1.0E+10	1.17517686422123	1.9550420158128E-08	1.0E+10	0.269533445220647	4.67043317225988E-08	1.0E+10	7.82889469491485E-03	1.07676048651849E-09	1.50932385198703E-11	0.143729301904087	1.25539957912312E-11	2.53789182095963E-10	5.36707772835671	2.36470378581538E-12	1.30996315667476E-10	13.9878168532115	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	1.3059024548505E-09	1.0E+10	100000000000	1E-30	1.81249918192332E-10	1.0E+10	1E-30	1.0E+10	0.295925742607427	1.4580817060757E-08	1.0E+10	220.809541671681	1.1286672653998E-07	1.0E+10	8.51137795875901	5.31364996140192E-08	1.0E+10	1.17517686422123	1.9550420158128E-08	1.0E+10	0.269533445220647	4.67043317225988E-08	1.0E+10	7.82889469491485E-03	1.07676048651849E-09	1.50932385198703E-11	0.143729301904087	1.25539957912312E-11	2.53789182095963E-10	5.36707772835671	2.36470378581538E-12	1.30996315667476E-10	13.9878168532115	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	1.3059024548505E-09	1.0E+10	100000000000	1E-30	1.81249918192332E-10	1.0E+10	1E-30	1.0E+10	0.295925742607427	1.4580817060757E-08	1.0E+10	220.809541671681	1.1286672653998E-07	1.0E+10	8.51137795875901	5.31364996140192E-08	1.0E+10	1.17517686422123	1.9550420158128E-08	1.0E+10	0.269533445220647	4.67043317225988E-08	1.0E+10	7.82889469491485E-03	1.07676048651849E-09	1.50932385198703E-11	0.143729301904087	1.25539957912312E-11	2.53789182095963E-10	5.36707772835671	2.36470378581538E-12	1.30996315667476E-10	13.9878168532115	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	1.65850770779285E-09	1.0E+10	100000000000	1E-30	1.38724712175591E-10	1.0E+10	1E-30	1.0E+10	0.209649697919534	1.76942178589268E-08	1.0E+10	236.885950940663	1.15723940458564E-07	1.0E+10	1.8680654398115	6.28601821090264E-08	1.0E+10	0.452829854432449	1.91758544756855E-08	1.0E+10	0.139654497907299	1E-30	1.57739688149191E-11	0.111791609770119	2.48057340976138E-09	1.26226051899182E-11	0.188170452837667	1.3964188649034E-11	2.24151756867386E-10	4.51374519962494	1.76713142674338E-12	1.86747854690767E-10	24.2591986553546	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	1.65850770779285E-09	1.0E+10	100000000000	1E-30	1.38724712175591E-10	1.0E+10	1E-30	1.0E+10	0.209649697919534	1.76942178589268E-08	1.0E+10	236.885950940663	1.15723940458564E-07	1.0E+10	1.8680654398115	6.28601821090264E-08	1.0E+10	0.452829854432449	1.91758544756855E-08	1.0E+10	0.139654497907299	1E-30	1.57739688149191E-11	0.111791609770119	2.48057340976138E-09	1.26226051899182E-11	0.188170452837667	1.3964188649034E-11	2.24151756867386E-10	4.51374519962494	1.76713142674338E-12	1.86747854690767E-10	24.2591986553546	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	1.65850770779285E-09	1.0E+10	100000000000	1E-30	1.38724712175591E-10	1.0E+10	1E-30	1.0E+10	0.209649697919534	1.76942178589268E-08	1.0E+10	236.885950940663	1.15723940458564E-07	1.0E+10	1.8680654398115	6.28601821090264E-08	1.0E+10	0.452829854432449	1.91758544756855E-08	1.0E+10	0.139654497907299	1E-30	1.57739688149191E-11	0.111791609770119	2.48057340976138E-09	1.26226051899182E-11	0.188170452837667	1.3964188649034E-11	2.24151756867386E-10	4.51374519962494	1.76713142674338E-12	1.86747854690767E-10	24.2591986553546	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
