BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	2.30925761650238E-10	1.0E+10	1.0E+10	1E-30	1.63775373857072E-11	1.0E+10	1E-30	1.0E+10	0.499328896962653	4.89697099996141E-09	1.0E+10	68.879958905232	1.62410832903971E-08	1.0E+10	3.28392826369446	8.65986905360689E-09	1.0E+10	0.916659423940132	4.09280968876413E-09	1.0E+10	0.650719766222537	1.52346051414116E-09	1.0E+10	0.479289058939727	4.99675087449464E-12	2.72352353027291E-10	16.9572453765514	4.88387976643979E-13	3.05530003597079E-10	21.8451637542928	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	2.30925761650238E-10	1.0E+10	1.0E+10	1E-30	1.63775373857072E-11	1.0E+10	1E-30	1.0E+10	0.499328896962653	4.89697099996141E-09	1.0E+10	68.879958905232	1.62410832903971E-08	1.0E+10	3.28392826369446	8.65986905360689E-09	1.0E+10	0.916659423940132	4.09280968876413E-09	1.0E+10	0.650719766222537	1.52346051414116E-09	1.0E+10	0.479289058939727	4.99675087449464E-12	2.72352353027291E-10	16.9572453765514	4.88387976643979E-13	3.05530003597079E-10	21.8451637542928	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	3.29067234133285E-10	1.0E+10	1.0E+10	1E-30	4.03032518405931E-11	1.0E+10	1E-30	1.0E+10	1.32724957533261	2.42118580729814E-08	1.0E+10	65.7342954068857	9.90749537018788E-09	1.0E+10	38.1955580514245	1.6605455231403E-08	1.0E+10	3.05664771664275	6.15980684570489E-09	1.0E+10	0.657547271017862	2.76888622259195E-09	1.0E+10	0.409848647877662	4.86019243820255E-10	1.18891490688047E-11	0.36309464714804	7.93469490916994E-12	1.08873604211741E-10	8.57719375014955	8.53079803098614E-12	6.21638519476662E-11	9.65175356106063	1.32706904057183E-12	1.9610908789168E-10	26.9762226113155	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	3.29067234133285E-10	1.0E+10	1.0E+10	1E-30	4.03032518405931E-11	1.0E+10	1E-30	1.0E+10	1.32724957533261	2.42118580729814E-08	1.0E+10	65.7342954068857	9.90749537018788E-09	1.0E+10	38.1955580514245	1.6605455231403E-08	1.0E+10	3.05664771664275	6.15980684570489E-09	1.0E+10	0.657547271017862	2.76888622259195E-09	1.0E+10	0.409848647877662	4.86019243820255E-10	1.18891490688047E-11	0.36309464714804	7.93469490916994E-12	1.08873604211741E-10	8.57719375014955	8.53079803098614E-12	6.21638519476662E-11	9.65175356106063	1.32706904057183E-12	1.9610908789168E-10	26.9762226113155	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	4.78878205200773E-10	1.0E+10	1.0E+10	1E-30	7.60019788274205E-11	1.0E+10	1E-30	1.0E+10	0.332243423127642	1.16852114023548E-08	1.0E+10	41.6153770257521	4.22426978751494E-08	1.0E+10	2.44391684106203	1.74016288108765E-08	1.0E+10	0.820205777309834	6.93420328298835E-09	1.0E+10	0.390622740914959	3.85553254530805E-09	1.0E+10	0.133625576011453	1E-30	1.36853592457454E-10	5.12029952974886	1.56274143127054E-09	1.18639065235263E-11	0.175144578035269	6.66500588353677E-10	1.08362455637248E-11	0.24248021064478	5.12897401291576E-12	1.45698804559203E-10	13.2049466656164	4.14406830578115E-12	6.58844744681785E-11	21.4359049150134	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	4.78878205200773E-10	1.0E+10	1.0E+10	1E-30	7.60019788274205E-11	1.0E+10	1E-30	1.0E+10	0.332243423127642	1.16852114023548E-08	1.0E+10	41.6153770257521	4.22426978751494E-08	1.0E+10	2.44391684106203	1.74016288108765E-08	1.0E+10	0.820205777309834	6.93420328298835E-09	1.0E+10	0.390622740914959	3.85553254530805E-09	1.0E+10	0.133625576011453	1E-30	1.36853592457454E-10	5.12029952974886	1.56274143127054E-09	1.18639065235263E-11	0.175144578035269	6.66500588353677E-10	1.08362455637248E-11	0.24248021064478	5.12897401291576E-12	1.45698804559203E-10	13.2049466656164	4.14406830578115E-12	6.58844744681785E-11	21.4359049150134	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	4.78878205200773E-10	1.0E+10	1.0E+10	1E-30	7.60019788274205E-11	1.0E+10	1E-30	1.0E+10	0.332243423127642	1.16852114023548E-08	1.0E+10	41.6153770257521	4.22426978751494E-08	1.0E+10	2.44391684106203	1.74016288108765E-08	1.0E+10	0.820205777309834	6.93420328298835E-09	1.0E+10	0.390622740914959	3.85553254530805E-09	1.0E+10	0.133625576011453	1E-30	1.36853592457454E-10	5.12029952974886	1.56274143127054E-09	1.18639065235263E-11	0.175144578035269	6.66500588353677E-10	1.08362455637248E-11	0.24248021064478	5.12897401291576E-12	1.45698804559203E-10	13.2049466656164	4.14406830578115E-12	6.58844744681785E-11	21.4359049150134	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	4.78878205200773E-10	1.0E+10	1.0E+10	1E-30	7.60019788274205E-11	1.0E+10	1E-30	1.0E+10	0.332243423127642	1.16852114023548E-08	1.0E+10	41.6153770257521	4.22426978751494E-08	1.0E+10	2.44391684106203	1.74016288108765E-08	1.0E+10	0.820205777309834	6.93420328298835E-09	1.0E+10	0.390622740914959	3.85553254530805E-09	1.0E+10	0.133625576011453	1E-30	1.36853592457454E-10	5.12029952974886	1.56274143127054E-09	1.18639065235263E-11	0.175144578035269	6.66500588353677E-10	1.08362455637248E-11	0.24248021064478	5.12897401291576E-12	1.45698804559203E-10	13.2049466656164	4.14406830578115E-12	6.58844744681785E-11	21.4359049150134	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	4.76111491337245E-10	1.0E+10	1.0E+10	1E-30	1.05193573104726E-10	1.0E+10	1E-30	1.0E+10	0.350310302466754	1.13251671705317E-08	1.0E+10	46.9327882422413	5.25537167133594E-08	1.0E+10	1.58798417425563	1.68648302792568E-08	1.0E+10	0.731617025927409	4.0472553015792E-09	1.0E+10	0.415197709787466	3.03300727852889E-09	1.04727997591706E-11	0.180678102458187	3.72155790006637E-10	3.5062229509105E-11	0.521247283220868	1.47122315428455E-12	3.66178152899875E-10	18.184601518836	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	4.76111491337245E-10	1.0E+10	1.0E+10	1E-30	1.05193573104726E-10	1.0E+10	1E-30	1.0E+10	0.350310302466754	1.13251671705317E-08	1.0E+10	46.9327882422413	5.25537167133594E-08	1.0E+10	1.58798417425563	1.68648302792568E-08	1.0E+10	0.731617025927409	4.0472553015792E-09	1.0E+10	0.415197709787466	3.03300727852889E-09	1.04727997591706E-11	0.180678102458187	3.72155790006637E-10	3.5062229509105E-11	0.521247283220868	1.47122315428455E-12	3.66178152899875E-10	18.184601518836	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
