BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	2.31E-15	1E-30	1.0E-10	1.0E+10	0.00000000256	0.0492	1.0E+10	1E-30	1630	1.0E+10	0.0000000811	344	1.0E+10	0.0000000244	18	1.0E+10	0.000000001	0.0251	0.0000000669	1.85E-15	252	0.000000000624	4.71E-15	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	2.31E-15	1E-30	1.0E-10	1.0E+10	0.00000000256	0.0492	1.0E+10	1E-30	1630	1.0E+10	0.0000000811	344	1.0E+10	0.0000000244	18	1.0E+10	0.000000001	0.0251	0.0000000669	1.85E-15	252	0.000000000624	4.71E-15	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	2.31E-15	1E-30	1.0E-10	1.0E+10	0.00000000256	0.0492	1.0E+10	1E-30	1630	1.0E+10	0.0000000811	344	1.0E+10	0.0000000244	18	1.0E+10	0.000000001	0.0251	0.0000000669	1.85E-15	252	0.000000000624	4.71E-15	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000162	0.0492	1.0E+10	1E-30	1560	1.0E+10	0.0000000588	249	1.0E+10	0.0000000143	10.6	1.0E+10	0.000000000871	0.0148	0.0000000882	1.47E-15	325	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000162	0.0492	1.0E+10	1E-30	1560	1.0E+10	0.0000000588	249	1.0E+10	0.0000000143	10.6	1.0E+10	0.000000000871	0.0148	0.0000000882	1.47E-15	325	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000162	0.0492	1.0E+10	1E-30	1560	1.0E+10	0.0000000588	249	1.0E+10	0.0000000143	10.6	1.0E+10	0.000000000871	0.0148	0.0000000882	1.47E-15	325	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000134	0.0492	1.0E+10	1E-30	1600	1.0E+10	0.0000000793	238	1.0E+10	0.000000015	11.1	1.0E+10	0.000000001	0.0281	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000134	0.0492	1.0E+10	1E-30	1600	1.0E+10	0.0000000793	238	1.0E+10	0.000000015	11.1	1.0E+10	0.000000001	0.0281	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000134	0.0492	1.0E+10	1E-30	1600	1.0E+10	0.0000000793	238	1.0E+10	0.000000015	11.1	1.0E+10	0.000000001	0.0281	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000134	0.0492	1.0E+10	1E-30	1600	1.0E+10	0.0000000793	238	1.0E+10	0.000000015	11.1	1.0E+10	0.000000001	0.0281	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000134	0.0492	1.0E+10	1E-30	1600	1.0E+10	0.0000000793	238	1.0E+10	0.000000015	11.1	1.0E+10	0.000000001	0.0281	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
11	2.59E-15	1E-30	1.0E-10	1.0E+10	0.0000000134	0.0492	1.0E+10	1E-30	1600	1.0E+10	0.0000000793	238	1.0E+10	0.000000015	11.1	1.0E+10	0.000000001	0.0281	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
12	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000173	0.0143	1.0E+10	1E-30	2150	1.0E+10	0.0000000354	128	1.0E+10	0.000000015	6.11	1.0E+10	0.00000000309	0.0288	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
13	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000173	0.0143	1.0E+10	1E-30	2150	1.0E+10	0.0000000354	128	1.0E+10	0.000000015	6.11	1.0E+10	0.00000000309	0.0288	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
14	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000173	0.0143	1.0E+10	1E-30	2150	1.0E+10	0.0000000354	128	1.0E+10	0.000000015	6.11	1.0E+10	0.00000000309	0.0288	0.0000000823	1.5E-15	310	0.0000000018	1.36E-14	58	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
15	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000499	0.0122	1.0E+10	1E-30	2360	1.0E+10	0.0000000512	143	1.0E+10	0.000000015	4.13	1.0E+10	0.00000000214	0.0524	0.0000000823	1.5E-15	310	0.000000000751	3.41E-14	0.00045	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
16	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000499	0.0122	1.0E+10	1E-30	2360	1.0E+10	0.0000000512	143	1.0E+10	0.000000015	4.13	1.0E+10	0.00000000214	0.0524	0.0000000823	1.5E-15	310	0.000000000751	3.41E-14	0.00045	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
17	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000499	0.0122	1.0E+10	1E-30	2360	1.0E+10	0.0000000512	143	1.0E+10	0.000000015	4.13	1.0E+10	0.00000000214	0.0524	0.0000000823	1.5E-15	310	0.000000000751	3.41E-14	0.00045	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
18	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000435	0.022	1.0E+10	1E-30	2710	1.0E+10	0.0000000601	168	1.0E+10	0.0000000217	7.01	1.0E+10	0.00000000269	0.0416	0.0000000823	1.5E-15	310	0.0000000007	3.19E-14	0.00045	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
19	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000435	0.022	1.0E+10	1E-30	2710	1.0E+10	0.0000000601	168	1.0E+10	0.0000000217	7.01	1.0E+10	0.00000000269	0.0416	0.0000000823	1.5E-15	310	0.0000000007	3.19E-14	0.00045	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
20	2.59E-15	1E-30	1.0E-10	1.0E+10	0.00000000435	0.022	1.0E+10	1E-30	2710	1.0E+10	0.0000000601	168	1.0E+10	0.0000000217	7.01	1.0E+10	0.00000000269	0.0416	0.0000000823	1.5E-15	310	0.0000000007	3.19E-14	0.00045	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
21	2.31E-14	1E-30	1.0E-10	1.0E+10	0.0000000112	0.0458	1.0E+10	1E-30	2980	1.0E+10	0.000000154	598	1.0E+10	0.0000000423	41.4	1.0E+10	0.00000000214	0.063	1.21E-15	0.000000000105	9.77	1.39E-14	0.0000000032	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
22	2.31E-14	1E-30	1.0E-10	1.0E+10	0.0000000112	0.0458	1.0E+10	1E-30	2980	1.0E+10	0.000000154	598	1.0E+10	0.0000000423	41.4	1.0E+10	0.00000000214	0.063	1.21E-15	0.000000000105	9.77	1.39E-14	0.0000000032	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
23	2.31E-14	1E-30	1.0E-10	1.0E+10	0.0000000112	0.0458	1.0E+10	1E-30	2980	1.0E+10	0.000000154	598	1.0E+10	0.0000000423	41.4	1.0E+10	0.00000000214	0.063	1.21E-15	0.000000000105	9.77	1.39E-14	0.0000000032	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
24	2.06E-14	1E-30	1.0E-10	1.0E+10	0.000000025	0.0458	1.0E+10	1E-30	3340	1.0E+10	0.000000102	464	1.0E+10	0.0000000475	38.6	1.0E+10	0.00000000214	0.063	1.01E-14	0.00000000087	9.77	1.49E-14	0.00000000343	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
25	2.06E-14	1E-30	1.0E-10	1.0E+10	0.000000025	0.0458	1.0E+10	1E-30	3340	1.0E+10	0.000000102	464	1.0E+10	0.0000000475	38.6	1.0E+10	0.00000000214	0.063	1.01E-14	0.00000000087	9.77	1.49E-14	0.00000000343	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
26	2.06E-14	1E-30	1.0E-10	1.0E+10	0.000000025	0.0458	1.0E+10	1E-30	3340	1.0E+10	0.000000102	464	1.0E+10	0.0000000475	38.6	1.0E+10	0.00000000214	0.063	1.01E-14	0.00000000087	9.77	1.49E-14	0.00000000343	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
27	1.64E-14	1E-30	1.0E-10	1.0E+10	0.0000000072	0.0238	1.0E+10	1E-30	3830	1.0E+10	0.0000000954	423	1.0E+10	0.0000000404	27.3	1.0E+10	0.00000000316	0.066	1.97E-14	0.000000000446	5.01	1.49E-14	0.00000000343	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
28	1.64E-14	1E-30	1.0E-10	1.0E+10	0.0000000072	0.0238	1.0E+10	1E-30	3830	1.0E+10	0.0000000954	423	1.0E+10	0.0000000404	27.3	1.0E+10	0.00000000316	0.066	1.97E-14	0.000000000446	5.01	1.49E-14	0.00000000343	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
29	1.64E-14	1E-30	1.0E-10	1.0E+10	0.0000000072	0.0238	1.0E+10	1E-30	3830	1.0E+10	0.0000000954	423	1.0E+10	0.0000000404	27.3	1.0E+10	0.00000000316	0.066	1.97E-14	0.000000000446	5.01	1.49E-14	0.00000000343	0.00000192	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
30	4.31E-17	1E-30	1.0E-10	1.0E+10	0.0000000147	0.0238	1.0E+10	1E-30	4200	1.0E+10	0.0000000932	395	1.0E+10	0.0000000486	30.6	1.0E+10	0.00000000302	0.063	1.81E-15	0.0000000654	418	4.03E-14	0.00000000091	5.01	1.96E-14	0.00000000285	19.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
31	4.31E-17	1E-30	1.0E-10	1.0E+10	0.0000000147	0.0238	1.0E+10	1E-30	4200	1.0E+10	0.0000000932	395	1.0E+10	0.0000000486	30.6	1.0E+10	0.00000000302	0.063	1.81E-15	0.0000000654	418	4.03E-14	0.00000000091	5.01	1.96E-14	0.00000000285	19.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
32	4.31E-17	1E-30	1.0E-10	1.0E+10	0.0000000147	0.0238	1.0E+10	1E-30	4200	1.0E+10	0.0000000932	395	1.0E+10	0.0000000486	30.6	1.0E+10	0.00000000302	0.063	1.81E-15	0.0000000654	418	4.03E-14	0.00000000091	5.01	1.96E-14	0.00000000285	19.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
33	3.42E-17	1E-30	1.0E-10	1.0E+10	0.0000000262	0.0344	1.0E+10	1E-30	4200	1.0E+10	0.000000107	395	1.0E+10	0.0000000545	30.6	1.0E+10	0.00000000309	0.0588	1.81E-15	0.0000000654	418	4.03E-14	0.00000000091	5.01	1.96E-14	0.00000000285	19.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
