BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	4.53E-14	1E-30	1.0E-10	1.0E+10	0.000000000324	0.00372	1.0E+10	1E-30	9630	1.0E+10	0.00000000379	0.0122	1.0E+10	0.00000000921	5.25	1.0E+10	0.000000209	436	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	4.53E-14	1E-30	1.0E-10	1.0E+10	0.000000000324	0.00372	1.0E+10	1E-30	9630	1.0E+10	0.00000000379	0.0122	1.0E+10	0.00000000921	5.25	1.0E+10	0.000000209	436	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	4.53E-14	1E-30	1.0E-10	1.0E+10	0.000000000324	0.00372	1.0E+10	1E-30	9630	1.0E+10	0.00000000379	0.0122	1.0E+10	0.00000000921	5.25	1.0E+10	0.000000209	436	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	1.09E-14	1E-30	1.0E-10	1.0E+10	0.000000000525	0.00631	1.0E+10	1E-30	8790	1.0E+10	0.0000000288	21.6	1.0E+10	0.00000000184	0.00166	1.0E+10	0.0000000551	174	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	1.09E-14	1E-30	1.0E-10	1.0E+10	0.000000000525	0.00631	1.0E+10	1E-30	8790	1.0E+10	0.0000000288	21.6	1.0E+10	0.00000000184	0.00166	1.0E+10	0.0000000551	174	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	1.09E-14	1E-30	1.0E-10	1.0E+10	0.000000000525	0.00631	1.0E+10	1E-30	8790	1.0E+10	0.0000000288	21.6	1.0E+10	0.00000000184	0.00166	1.0E+10	0.0000000551	174	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	2.07E-14	1E-30	1.0E-10	1.0E+10	0.000000000537	0.00851	1.0E+10	1E-30	8790	1.0E+10	0.0000000093	7.86	1.0E+10	0.00000216	2820	1.0E+10	0.0000000107	0.645	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	2.07E-14	1E-30	1.0E-10	1.0E+10	0.000000000537	0.00851	1.0E+10	1E-30	8790	1.0E+10	0.0000000093	7.86	1.0E+10	0.00000216	2820	1.0E+10	0.0000000107	0.645	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	2.07E-14	1E-30	1.0E-10	1.0E+10	0.000000000537	0.00851	1.0E+10	1E-30	8790	1.0E+10	0.0000000093	7.86	1.0E+10	0.00000216	2820	1.0E+10	0.0000000107	0.645	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	2.38E-14	1E-30	1.0E-10	1.0E+10	0.000000001	0.0324	1.0E+10	1E-30	5940	1.0E+10	0.0000000548	212	1.0E+10	0.00000000506	1.38	1.0E+10	0.0000000021	0.0848	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
