BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	3.21E-15	1E-30	1.0E-10	1.0E+10	0.000000000757	0.0118	1.0E+10	1E-30	6820	1.0E+10	0.00000281	15300	1.0E+10	0.0000000156	20.9	1.0E+10	0.000000000469	0.0109	5.17E-15	0.0000000226	77.3	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	3.21E-15	1E-30	1.0E-10	1.0E+10	0.000000000757	0.0118	1.0E+10	1E-30	6820	1.0E+10	0.00000281	15300	1.0E+10	0.0000000156	20.9	1.0E+10	0.000000000469	0.0109	5.17E-15	0.0000000226	77.3	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	3.21E-15	1E-30	1.0E-10	1.0E+10	0.000000000757	0.0118	1.0E+10	1E-30	6820	1.0E+10	0.00000281	15300	1.0E+10	0.0000000156	20.9	1.0E+10	0.000000000469	0.0109	5.17E-15	0.0000000226	77.3	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000792	0.0135	1.0E+10	1E-30	11600	1.0E+10	0.00000162	9020	1.0E+10	0.000000101	209	1.0E+10	0.000000000633	0.0148	3.26E-15	0.0000000359	123	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000792	0.0135	1.0E+10	1E-30	11600	1.0E+10	0.00000162	9020	1.0E+10	0.000000101	209	1.0E+10	0.000000000633	0.0148	3.26E-15	0.0000000359	123	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000792	0.0135	1.0E+10	1E-30	11600	1.0E+10	0.00000162	9020	1.0E+10	0.000000101	209	1.0E+10	0.000000000633	0.0148	3.26E-15	0.0000000359	123	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000536	0.0214	1.0E+10	1E-30	4830	1.0E+10	0.000000218	1140	1.0E+10	0.0000000506	105	1.0E+10	0.0000000031	0.0371	3.26E-15	0.0000000359	123	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000536	0.0214	1.0E+10	1E-30	4830	1.0E+10	0.000000218	1140	1.0E+10	0.0000000506	105	1.0E+10	0.0000000031	0.0371	3.26E-15	0.0000000359	123	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000536	0.0214	1.0E+10	1E-30	4830	1.0E+10	0.000000218	1140	1.0E+10	0.0000000506	105	1.0E+10	0.0000000031	0.0371	3.26E-15	0.0000000359	123	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000561	0.0269	1.0E+10	1E-30	4020	1.0E+10	0.0000000614	320	1.0E+10	0.0000000266	31	1.0E+10	0.0000000381	1.82	2.1E-15	0.0000000531	185	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000561	0.0269	1.0E+10	1E-30	4020	1.0E+10	0.0000000614	320	1.0E+10	0.0000000266	31	1.0E+10	0.0000000381	1.82	2.1E-15	0.0000000531	185	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
11	2.61E-14	1E-30	1.0E-10	1.0E+10	0.000000000561	0.0269	1.0E+10	1E-30	4020	1.0E+10	0.0000000614	320	1.0E+10	0.0000000266	31	1.0E+10	0.0000000381	1.82	2.1E-15	0.0000000531	185	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
