BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	2.05E-15	1E-30	1.0E-10	1.0E+10	0.0000000024	0.02	1.0E+10	1E-30	1140	1.0E+10	0.00000000118	0.0963	1.0E+10	0.000000016	34.8	1.0E+10	0.0000000223	87.6	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	1.52E-15	1E-30	1.0E-10	1.0E+10	0.00000000417	0.045	1.0E+10	1E-30	1140	1.0E+10	0.0000000011	0.0963	1.0E+10	0.0000000127	25.2	1.0E+10	0.0000000203	66.5	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	1.17E-14	1E-30	1.0E-10	1.0E+10	0.00000000269	0.055	1.0E+10	1E-30	1600	1.0E+10	0.00000000306	0.253	1.0E+10	0.0000000278	57.5	1.0E+10	0.000000047	137	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	2.44E-14	1E-30	1.0E-10	1.0E+10	0.00000000282	0.077	1.0E+10	1E-30	1670	1.0E+10	0.00000000274	0.291	1.0E+10	0.0000000237	75.8	1.0E+10	0.000000382	1440	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	3.87E-14	1E-30	1.0E-10	1.0E+10	0.00000000309	0.06	1.0E+10	1E-30	2100	1.0E+10	0.00000000345	0.35	1.0E+10	0.000000032	93.3	1.0E+10	0.000000118	657	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	2.44E-14	1E-30	1.0E-10	1.0E+10	0.00000000178	0.083	1.0E+10	1E-30	2100	1.0E+10	0.0000000571	0.861	1.0E+10	0.0000000254	30.9	1.0E+10	0.0000000589	361	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	2.44E-14	1E-30	1.0E-10	1.0E+10	0.00000000195	0.13	1.0E+10	1E-30	2100	1.0E+10	0.0000000571	0.861	1.0E+10	0.000000026	30.9	1.0E+10	0.0000000537	307	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	2.44E-14	1E-30	1.0E-10	1.0E+10	0.00000000214	0.13	1.0E+10	1E-30	2200	1.0E+10	0.0000000571	0.861	1.0E+10	0.000000026	30.9	1.0E+10	0.0000000549	307	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	3.21E-14	1E-30	1.0E-10	1.0E+10	0.0000000027	0.05	1.0E+10	1E-30	3040	1.0E+10	0.0000000598	0.638	1.0E+10	0.0000000462	35.5	1.0E+10	0.000000087	387	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	2.57E-14	1E-30	1.0E-10	1.0E+10	0.00000000439	0.06	1.0E+10	1E-30	2550	1.0E+10	0.00000000646	0.533	1.0E+10	0.0000000612	54.5	1.0E+10	0.0000000642	230	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
