BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	1.85E-14	1E-30	1.0E-10	1.0E+10	0.00000000139	0.01	1.0E+10	1E-30	14200	1.0E+10	0.00000000304	0.135	1.0E+10	0.0000000862	557	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	1.85E-14	1E-30	1.0E-10	1.0E+10	0.00000000139	0.01	1.0E+10	1E-30	14200	1.0E+10	0.00000000304	0.135	1.0E+10	0.0000000862	557	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	5.72E-15	1E-30	1.0E-10	1.0E+10	0.00000000124	0.023	1.0E+10	1E-30	14200	1.0E+10	0.000000103	0.546	1.0E+10	0.0000000365	113	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	5.72E-15	1E-30	1.0E-10	1.0E+10	0.00000000124	0.023	1.0E+10	1E-30	14200	1.0E+10	0.000000103	0.546	1.0E+10	0.0000000365	113	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	3.37E-15	1E-30	1.0E-10	1.0E+10	0.0000000013	0.037	1.0E+10	1E-30	14200	1.0E+10	0.0257	11.2	1.0E+10	0.0000000374	108	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	3.37E-15	1E-30	1.0E-10	1.0E+10	0.0000000013	0.037	1.0E+10	1E-30	14200	1.0E+10	0.0257	11.2	1.0E+10	0.0000000374	108	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	9.08E-15	1E-30	1.0E-10	1.0E+10	0.00000000124	0.054	1.0E+10	1E-30	14200	1.0E+10	0.000000596	8.8	1.0E+10	0.0000000349	108	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	9.08E-15	1E-30	1.0E-10	1.0E+10	0.00000000124	0.054	1.0E+10	1E-30	14200	1.0E+10	0.000000596	8.8	1.0E+10	0.0000000349	108	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	9.08E-15	1E-30	1.0E-10	1.0E+10	0.00000000197	0.018	1.0E+10	1E-30	14200	1.0E+10	0.0000246	39.5	1.0E+10	0.0000000713	175	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	9.08E-15	1E-30	1.0E-10	1.0E+10	0.00000000197	0.018	1.0E+10	1E-30	14200	1.0E+10	0.0000246	39.5	1.0E+10	0.0000000713	175	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
