BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	3.58E-16	1E-30	1.0E-10	1.0E+10	0.0000000232	0.045	1.0E+10	1E-30	229	1.0E+10	0.000000269	21.8	1.0E+10	0.000000264	145	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	3.58E-16	1E-30	1.0E-10	1.0E+10	0.0000000232	0.045	1.0E+10	1E-30	229	1.0E+10	0.000000269	21.8	1.0E+10	0.000000264	145	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	2.84E-16	1E-30	1.0E-10	1.0E+10	0.0000000413	0.06	1.0E+10	1E-30	363	1.0E+10	0.000000689	59.9	1.0E+10	0.00000154	78.9	1.0E+10	0.000000581	227	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	2.84E-16	1E-30	1.0E-10	1.0E+10	0.0000000413	0.06	1.0E+10	1E-30	363	1.0E+10	0.000000689	59.9	1.0E+10	0.00000154	78.9	1.0E+10	0.000000581	227	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	4.82E-14	1E-30	1.0E-10	1.0E+10	0.0000000655	0.075	1.0E+10	1E-30	575	1.0E+10	0.000000935	45.6	1.0E+10	0.00000116	153	1.0E+10	0.00000109	528	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	4.82E-14	1E-30	1.0E-10	1.0E+10	0.0000000655	0.075	1.0E+10	1E-30	575	1.0E+10	0.000000935	45.6	1.0E+10	0.00000116	153	1.0E+10	0.00000109	528	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	5.41E-14	1E-30	1.0E-10	1.0E+10	0.0000000925	0.09	1.0E+10	1E-30	776	1.0E+10	0.00000126	48.9	1.0E+10	0.0000018	221	1.0E+10	0.00000131	528	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	5.41E-14	1E-30	1.0E-10	1.0E+10	0.0000000925	0.09	1.0E+10	1E-30	776	1.0E+10	0.00000126	48.9	1.0E+10	0.0000018	221	1.0E+10	0.00000131	528	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	5.17E-14	1E-30	1.0E-10	1.0E+10	0.000000119	0.105	1.0E+10	1E-30	1070	1.0E+10	0.00000137	103	1.0E+10	0.00000488	738	1.0E+10	0.00000153	783	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	5.17E-14	1E-30	1.0E-10	1.0E+10	0.000000119	0.105	1.0E+10	1E-30	1070	1.0E+10	0.00000137	103	1.0E+10	0.00000488	738	1.0E+10	0.00000153	783	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
