BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	2.87E-14	1E-30	1.0E-10	1.0E+10	0.00000000296	0.013	1.0E+10	1E-30	4400	1.0E+10	0.0000000267	2.47	1.0E+10	0.0000000523	20.8	1.0E+10	0.000000123	692	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	2.74E-14	1E-30	1.0E-10	1.0E+10	0.0000000034	0.0252	1.0E+10	1E-30	4110	1.0E+10	0.0000000547	11.8	1.0E+10	0.000000105	116	1.0E+10	0.000000213	1600	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	4.98E-14	1E-30	1.0E-10	1.0E+10	0.00000000678	0.023	1.0E+10	1E-30	10100	1.0E+10	0.000000144	11.8	1.0E+10	0.000000205	88	1.0E+10	0.00000037	1790	4.68E-16	0.000000223	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	7.03E-14	1E-30	1.0E-10	1.0E+10	0.00000000726	0.031	1.0E+10	1E-30	16400	1.0E+10	0.0000000978	14.1	1.0E+10	0.000000324	636	1.0E+10	0.000000396	7330	3.89E-16	0.000000223	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	7.89E-14	1E-30	1.0E-10	1.0E+10	0.00000000853	0.071	1.0E+10	1E-30	16400	1.0E+10	0.0000000975	14.9	1.0E+10	0.000000322	521	1.0E+10	0.000000483	6200	3.89E-16	0.000000223	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	7.89E-14	1E-30	1.0E-10	1.0E+10	0.00000000853	0.071	1.0E+10	1E-30	16400	1.0E+10	0.0000000975	14.9	1.0E+10	0.000000322	521	1.0E+10	0.000000483	6200	3.89E-16	0.000000223	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	4.98E-14	1E-30	1.0E-10	1.0E+10	0.0000000115	0.033	1.0E+10	1E-30	16400	1.0E+10	0.000000141	9.63	1.0E+10	0.000000396	261	1.0E+10	0.000000766	4490	7.58E-16	0.000000416	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	4.98E-14	1E-30	1.0E-10	1.0E+10	0.0000000115	0.033	1.0E+10	1E-30	16400	1.0E+10	0.000000141	9.63	1.0E+10	0.000000396	261	1.0E+10	0.000000766	4490	7.58E-16	0.000000416	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	6.88E-14	1E-30	1.0E-10	1.0E+10	0.0000000126	0.033	1.0E+10	1E-30	23200	1.0E+10	0.0000000614	5.43	1.0E+10	0.000000606	1320	1.0E+10	0.00000099	9780	6.16E-16	0.000000416	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	6.88E-14	1E-30	1.0E-10	1.0E+10	0.0000000126	0.033	1.0E+10	1E-30	23200	1.0E+10	0.0000000614	5.43	1.0E+10	0.000000606	1320	1.0E+10	0.00000099	9780	6.16E-16	0.000000416	301	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
