BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	3.34E-14	1E-30	1.0E-10	1.0E+10	0.00000000336	0.022	1.0E+10	1E-30	54500	1.0E+10	0.00000000944	1.35	1.0E+10	0.0000000849	452	1.0E+10	0.00000372	7340	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	3.34E-14	1E-30	1.0E-10	1.0E+10	0.00000000377	0.047	1.0E+10	1E-30	54500	1.0E+10	0.0000000119	1.35	1.0E+10	0.000000176	1610	1.0E+10	0.0000000907	201	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	4.11E-14	1E-30	1.0E-10	1.0E+10	0.00000000641	0.024	1.0E+10	1E-30	54500	1.0E+10	0.0000000667	9.61	1.0E+10	0.000000363	759	1.0E+10	0.000000605	6680	3.8E-17	0.00000335	6380	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	3.84E-14	1E-30	1.0E-10	1.0E+10	0.00000000736	0.086	1.0E+10	1E-30	54500	1.0E+10	0.0000000868	16.2	1.0E+10	0.000000273	812	1.0E+10	0.000000722	10400	3.8E-17	0.00000335	6380	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	6.22E-14	1E-30	1.0E-10	1.0E+10	0.00000000885	0.1	1.0E+10	1E-30	54500	1.0E+10	0.0000000848	10.7	1.0E+10	0.000000314	758	1.0E+10	0.000000722	10400	3.02E-17	0.00000335	6380	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	5.67E-14	1E-30	1.0E-10	1.0E+10	0.00000000845	0.13	1.0E+10	1E-30	54500	1.0E+10	0.000000257	171	1.0E+10	0.000000552	1900	1.0E+10	0.000000623	8180	2.95E-17	0.00000335	6380	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	5.67E-14	1E-30	1.0E-10	1.0E+10	0.00000000845	0.13	1.0E+10	1E-30	54500	1.0E+10	0.000000257	171	1.0E+10	0.000000552	1900	1.0E+10	0.000000623	8180	2.95E-17	0.00000335	6380	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	4.61E-14	1E-30	1.0E-10	1.0E+10	0.0000000114	0.053	1.0E+10	1E-30	54500	1.0E+10	0.000000229	32.2	1.0E+10	0.000000672	849	1.0E+10	0.000000981	7020	1.45E-16	0.00000211	1890	4.24E-17	0.00000159	3460	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	4.61E-14	1E-30	1.0E-10	1.0E+10	0.0000000114	0.053	1.0E+10	1E-30	54500	1.0E+10	0.000000229	32.2	1.0E+10	0.000000672	849	1.0E+10	0.000000981	7020	1.45E-16	0.00000211	1890	4.24E-17	0.00000159	3460	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	4.61E-14	1E-30	1.0E-10	1.0E+10	0.0000000131	0.13	1.0E+10	1E-30	54500	1.0E+10	0.00000029	46.7	1.0E+10	0.000000607	914	1.0E+10	0.00000107	7820	1.23E-16	0.00000211	1890	4.44E-17	0.00000159	3460	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	4.61E-14	1E-30	1.0E-10	1.0E+10	0.0000000131	0.13	1.0E+10	1E-30	54500	1.0E+10	0.00000029	46.7	1.0E+10	0.000000607	914	1.0E+10	0.00000107	7820	1.23E-16	0.00000211	1890	4.44E-17	0.00000159	3460	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
11	7.47E-14	1E-30	1.0E-10	1.0E+10	0.0000000173	0.15	1.0E+10	1E-30	54500	1.0E+10	0.000000357	46.7	1.0E+10	0.000000877	914	1.0E+10	0.00000123	7820	6.29E-17	0.00000211	1890	4.44E-17	0.00000159	3460	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
12	7.47E-14	1E-30	1.0E-10	1.0E+10	0.0000000173	0.15	1.0E+10	1E-30	54500	1.0E+10	0.000000357	46.7	1.0E+10	0.000000877	914	1.0E+10	0.00000123	7820	6.29E-17	0.00000211	1890	4.44E-17	0.00000159	3460	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
