BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16
0	8.82E-14	1E-30	1.0E-10	1.0E+10	0.0000000122	0.053	1.0E+10	1E-30	24500	1.0E+10	0.000000165	25	1.0E+10	0.000000611	1620	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	8.82E-14	1E-30	1.0E-10	1.0E+10	0.0000000122	0.053	1.0E+10	1E-30	24500	1.0E+10	0.000000165	25	1.0E+10	0.000000611	1620	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	6.54E-14	1E-30	1.0E-10	1.0E+10	0.0000000193	0.048	1.0E+10	1E-30	24500	1.0E+10	0.000000294	39.7	1.0E+10	0.00000126	2370	1.21E-15	0.000000119	125	1.79E-16	0.000000359	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	6.54E-14	1E-30	1.0E-10	1.0E+10	0.0000000193	0.048	1.0E+10	1E-30	24500	1.0E+10	0.000000294	39.7	1.0E+10	0.00000126	2370	1.21E-15	0.000000119	125	1.79E-16	0.000000359	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	8.62E-14	1E-30	1.0E-10	1.0E+10	0.0000000222	0.079	1.0E+10	1E-30	24500	1.0E+10	0.000000397	52.3	1.0E+10	0.00000145	2370	2.59E-15	0.000000254	125	2.84E-16	0.000000569	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	8.62E-14	1E-30	1.0E-10	1.0E+10	0.0000000222	0.079	1.0E+10	1E-30	24500	1.0E+10	0.000000397	52.3	1.0E+10	0.00000145	2370	2.59E-15	0.000000254	125	2.84E-16	0.000000569	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	8.62E-14	1E-30	1.0E-10	1.0E+10	0.0000000222	0.079	1.0E+10	1E-30	24500	1.0E+10	0.000000397	52.3	1.0E+10	0.00000145	2370	2.59E-15	0.000000254	125	2.84E-16	0.000000569	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	0.000000000000143	1E-30	1.0E-10	1.0E+10	0.0000000279	0.098	1.0E+10	1E-30	24500	1.0E+10	0.000000456	52.3	1.0E+10	0.00000163	2370	2.31E-15	0.000000254	125	2.71E-16	0.000000569	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	0.000000000000143	1E-30	1.0E-10	1.0E+10	0.0000000279	0.098	1.0E+10	1E-30	24500	1.0E+10	0.000000456	52.3	1.0E+10	0.00000163	2370	2.31E-15	0.000000254	125	2.71E-16	0.000000569	1130	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	8.62E-14	1E-30	1.0E-10	1.0E+10	0.0000000335	0.103	1.0E+10	1E-30	24500	1.0E+10	0.000000536	52.3	1.0E+10	0.00000225	2370	5.05E-15	0.000000254	125	5.41E-16	0.000000569	1130	3.33E-17	0.00000367	6290	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	8.62E-14	1E-30	1.0E-10	1.0E+10	0.0000000335	0.103	1.0E+10	1E-30	24500	1.0E+10	0.000000536	52.3	1.0E+10	0.00000225	2370	5.05E-15	0.000000254	125	5.41E-16	0.000000569	1130	3.33E-17	0.00000367	6290	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
11	8.62E-14	1E-30	1.0E-10	1.0E+10	0.0000000335	0.103	1.0E+10	1E-30	24500	1.0E+10	0.000000536	52.3	1.0E+10	0.00000225	2370	5.05E-15	0.000000254	125	5.41E-16	0.000000569	1130	3.33E-17	0.00000367	6290	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
12	0.000000000000143	1E-30	1.0E-10	1.0E+10	0.0000000412	0.103	1.0E+10	1E-30	24500	1.0E+10	0.00000111	144	1.0E+10	0.00000297	2160	4.2E-15	0.000000254	125	4.93E-16	0.000000569	1130	3.33E-17	0.00000367	6290	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
13	0.000000000000143	1E-30	1.0E-10	1.0E+10	0.0000000412	0.103	1.0E+10	1E-30	24500	1.0E+10	0.00000111	144	1.0E+10	0.00000297	2160	4.2E-15	0.000000254	125	4.93E-16	0.000000569	1130	3.33E-17	0.00000367	6290	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
14	0.000000000000143	1E-30	1.0E-10	1.0E+10	0.0000000412	0.103	1.0E+10	1E-30	24500	1.0E+10	0.00000111	144	1.0E+10	0.00000297	2160	4.2E-15	0.000000254	125	4.93E-16	0.000000569	1130	3.33E-17	0.00000367	6290	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
